Symbol,Symbol,Security,GICS_Sector,GICS_Sub_Industry,latestPrice,lastweekPrice,week52High,pct_change1D,pct_change1W,pct_changeFrom1YHigh
ADSK,ADSK,Autodesk Inc.,Information Technology,Application Software,207.04,196.85,207.19,0.00505,0.051765303530607154,-0.0007239731647280534
AEE,AEE,Ameren Corp,Utilities,Multi-Utilities,83.6,82.05,83.6,0.00517,0.018890920170627545,0.0
AEP,AEP,American Electric Power,Utilities,Electric Utilities,101.34,104.22,104.97,-0.00207,-0.02763385146804831,-0.03458130894541289
AES,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,20.5,19.86,20.91,-0.00389,0.03222557905337364,-0.019607843137254943
AFL,AFL,AFLAC Inc,Financials,Life & Health Insurance,52.93,51.57,57.18,0.0036,0.02637192165987967,-0.07432668765302552
AGN,AGN,"Allergan, plc",Health Care,Pharmaceuticals,197.05,186.64,197.05,0.02162,0.055775825117874156,0.0
AIG,AIG,American International Group,Financials,Property & Casualty Insurance,53.46,50.26,58.66,0.00094,0.06366892160764026,-0.08864643709512443
AIV,AIV,Apartment Investment & Management,Real Estate,Residential REITs,53.37,52.71,55.49,-0.00224,0.01252134319863396,-0.03820508199675621
AIZ,AIZ,Assurant,Financials,Multi-line Insurance,136.36,130.56,137.83,0.00051,0.044424019607843146,-0.010665312341289979
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,104.93,102.57,105.67,-0.00181,0.023008677001072675,-0.0070029336613985915
AKAM,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,96.095,93.35,97.75,-0.00882,0.02940546331012328,-0.01693094629156011
ALB,ALB,Albemarle Corp,Materials,Specialty Chemicals,82.54,80.28,93.14,-0.05072,0.028151469855505873,-0.11380717199914103
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies,258.59,257.1,334.64,-0.03063,0.005795410346168595,-0.22725914415491277
ALK,ALK,Alaska Air Group Inc,Industrials,Airlines,63.96,64.59,72.22,-0.00094,-0.009753831862517437,-0.11437274993076707
ALL,ALL,Allstate Corp,Financials,Property & Casualty Insurance,124.43,118.54,125.43,0.00436,0.04968786907373035,-0.0079725743442558
ALLE,ALLE,Allegion,Industrials,Building Products,134.04,129.32,137.05,0.01231,0.03649860810392824,-0.021962787303903775
ALXN,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,100.6,99.39,141.86,-0.03306,0.012174263004326225,-0.2908501339348655
AMAT,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,61.715,57.99,64.93,-0.02334,0.06423521296775303,-0.049514862159248496
AMCR,AMCR,Amcor plc,Materials,Paper Packaging,10.82,10.59,11.77,-0.01726,0.02171860245514634,-0.08071367884451985
AMD,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,49.725,47,52.81,0.00821,0.05797872340425525,-0.05841696648362049
AME,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,98.3,97.15,102.31,-0.00385,0.011837364899639713,-0.0391946046329783
AMGN,AMGN,Amgen Inc.,Health Care,Biotechnology,229.29,216.05,244.99,-0.00933,0.061282110622540964,-0.06408424833666682
AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,175.32,165.41,177.51,-0.00335,0.05991173447796383,-0.012337333107993897
AMT,AMT,American Tower Corp.,Real Estate,Specialized REITs,238.75,231.74,242,0.00395,0.030249417450591176,-0.013429752066115741
AMZN,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,2080.34,2008.72,2080.34,0.01469,0.03565454617866104,0.0
ANET,ANET,Arista Networks,Information Technology,Communications Equipment,231.77,223.34,331.27,-0.00323,0.03774514193606171,-0.3003592235940471
