Symbol,Symbol,Security,GICS_Sector,GICS_Sub_Industry,latestPrice,lastweekPrice,week52High,pct_change1D,pct_change1W,pct_changeFrom1YHigh
GE,GE,General Electric,Industrials,Industrial Conglomerates,12.83,12.45,13,-0.00927,0.030522088353413634,-0.013076923076923097
GILD,GILD,Gilead Sciences,Health Care,Biotechnology,68.865,63.2,69.98,0.0096,0.08963607594936707,-0.01593312374964284
GIS,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,51.9,52.22,56.4,0.00367,-0.006127920337035575,-0.07978723404255317
GL,GL,Globe Life Inc.,Financials,Life & Health Insurance,108.58,104.26,109.1,0.00463,0.04143487435258009,-0.00476626947754355
GLW,GLW,Corning Inc.,Information Technology,Electronic Components,27.68,26.69,35.34,-0.01739,0.03709254402397888,-0.2167515563101302
GM,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,33.63,33.39,41.9,-0.02039,0.007187780772686558,-0.1973747016706443
GOOG,GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,1479.22,1434.23,1503.21,0.00203,0.03136874838763659,-0.01595918068666391
GOOGL,GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,1479.29,1432.78,1500.58,0.00225,0.03246136880749306,-0.014187847365685236
GPC,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,95.38,93.57,115.2,-0.00801,0.01934380677567593,-0.17204861111111114
GPN,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,200.79,195.45,205.37,-0.00436,0.027321565617805188,-0.0223012124458295
GPS,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,17.85,17.41,31.39,-0.03461,0.02527283170591632,-0.4313475629181267
GRMN,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,96.2,96.95,102.42,-0.01686,-0.0077359463641052395,-0.060730326108181965
GS,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,238,237.75,250.46,-0.0158,0.001051524710830698,-0.049748462828395734
GWW,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,299.7,302.67,346.6,-0.02865,-0.009812667261373864,-0.1353144835545298
HAL,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,21.8,21.81,32.71,-0.02066,-0.00045850527281054987,-0.33353714460409656
HAS,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,99.63,101.87,126.87,-0.02791,-0.02198880926671254,-0.2147079687869473
HBAN,HBAN,Huntington Bancshares,Financials,Regional Banks,13.97,13.57,15.63,0,0.029476787030213725,-0.10620601407549579
HBI,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",14.2,13.76,19.38,-0.01526,0.03197674418604657,-0.2672858617131063
HCA,HCA,HCA Healthcare,Health Care,Health Care Facilities,145.93,138.8,151.93,-0.02231,0.05136887608069163,-0.03949187125649967
HD,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,237.3,228.1,239.41,-0.00645,0.04033318719859724,-0.008813332776408611
HES,HES,Hess Corporation,Energy,Integrated Oil & Gas,55.45,56.57,74.11,-0.0277,-0.019798479759589815,-0.25178788287680476
HFC,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,43.52,44.92,58.88,0.00184,-0.03116651825467498,-0.26086956521739124
HIG,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,59.81,59.28,62.75,0.00319,0.00894062078272606,-0.04685258964143424
HII,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,269.14,261,279.71,0.00358,0.031187739463601538,-0.037789138750849105
HLT,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",110.84,107.8,113.96,-0.0165,0.02820037105751405,-0.027378027378027303
HOG,HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,33.87,33.4,41.4,-0.01826,0.014071856287425133,-0.18188405797101448
HOLX,HOLX,Hologic,Health Care,Health Care Equipment,53.18,53.52,55.25,-0.01427,-0.006352765321375298,-0.03746606334841629
HON,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,175.28,173.22,184.06,-0.00607,0.011892391178847772,-0.047701836357709415
HP,HP,Helmerich & Payne,Energy,Oil & Gas Drilling,42.65,40.55,64.8,-0.01021,0.051787916152897795,-0.341820987654321
HPE,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",14.74,13.93,17.59,-0.01206,0.05814788226848533,-0.1620238772029562
HPQ,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",21.73,21.32,24.09,-0.00504,0.019230769230769162,-0.0979659609796596
HRB,HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,22.31,23.2,29.62,-0.03919,-0.038362068965517304,-0.24679270762997985
HRL,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,47.09,47.26,48.01,0.00427,-0.00359712230215814,-0.019162674442824268
HSIC,HSIC,Henry Schein,Health Care,Health Care Distributors,69.95,68.94,80.9,-0.01437,0.014650420655642593,-0.13535228677379485
HST,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,16.7,16.34,20.35,-0.01765,0.022031823745410017,-0.17936117936117946
HSY,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,156.05,155.17,162.2,0.01108,0.005671199329767562,-0.03791615289765704
HUM,HUM,Humana Inc.,Health Care,Managed Health Care,353.26,336.24,376.4,-0.0164,0.05061860575779198,-0.06147715196599357
IBM,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,153.41,143.73,158.75,-0.01115,0.06734850066096154,-0.03363779527559052
ICE,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,92.63,99.74,101.93,0.02797,-0.07128534188891111,-0.09123908564701277
IDXX,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,278.425,271.01,294.57,-0.008,0.02736061399948353,-0.0548087042129205
IEX,IEX,IDEX Corporation,Industrials,Industrial Machinery,171.35,163.85,176.7,0.00093,0.045773573390295974,-0.030277306168647433
IFF,IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,140,131.11,152.95,-0.01554,0.0678056593699945,-0.08466819221967958
ILMN,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,294.28,290.07,380.76,-0.02307,0.01451373806322609,-0.22712469797247614
INCY,INCY,Incyte,Health Care,Biotechnology,74.14,73.07,96.79,-0.02203,0.01464349254139874,-0.23401177807624762
INFO,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,80.42,78.86,81.28,-0.00532,0.019781891960436226,-0.01058070866141736
INTC,INTC,Intel Corp.,Information Technology,Semiconductors,66.025,63.93,69.29,-0.01587,0.032770217425309056,-0.047120796651753505
INTU,INTU,Intuit Inc.,Information Technology,Application Software,294.78,280.38,298.82,0.00194,0.05135887010485751,-0.013519844722575503
IP,IP,International Paper,Materials,Paper Packaging,43.56,40.72,48.24,-0.01559,0.06974459724950899,-0.09701492537313428
IPG,IPG,Interpublic Group,Communication Services,Advertising,23.02,22.7,24.15,-0.00819,0.014096916299559448,-0.046790890269151064
IPGP,IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,133.61,127.67,182.17,-0.05543,0.04652620036030397,-0.26656419827633515
IQV,IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,157,155.25,164.13,-0.02199,0.011272141706924366,-0.04344117467860842
IR,IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,141.81,133.23,142.7,-0.00421,0.06439990993019595,-0.0062368605466012195
IRM,IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,31.83,31.61,36.82,-0.00313,0.006959822840873153,-0.13552417164584474
ISRG,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,579.63,559.78,616.56,-0.0033,0.03546035942691783,-0.05989684702218756
IT,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,152.58,160.78,171.78,-0.01108,-0.05100136832939417,-0.11177086971707995
ITW,ITW,Illinois Tool Works,Industrials,Industrial Machinery,183.54,174.98,186.49,-0.0136,0.048919876557320885,-0.015818542549198455
IVZ,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,18.22,17.3,22.18,0.0011,0.05317919075144495,-0.17853922452660054
J,J,Jacobs Engineering Group,Industrials,Construction & Engineering,95.78,92.53,98.08,-0.0025,0.03512374365070792,-0.023450244698205558
JBHT,JBHT,J. B. Hunt Transport Services,Industrials,Trucking,112.48,107.93,122.29,0.00402,0.04215695358102467,-0.08021915119797207
JCI,JCI,Johnson Controls International,Industrials,Building Products,39.81,39.45,44.82,-0.00276,0.009125475285171047,-0.11178045515394908
JKHY,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,165.28,149.54,165.74,0.00658,0.10525611876421026,-0.002775431398576167
JNJ,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,151.89,148.87,154.5,-0.01068,0.020286155706320752,-0.016893203883495245
JNPR,JNPR,Juniper Networks,Information Technology,Communications Equipment,23.76,22.94,28.77,0.02768,0.03574542284219695,-0.17413972888425433
JPM,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,137.17,132.36,141.1,-0.0032,0.03634028407373813,-0.027852586817859737
JWN,JWN,Nordstrom,Consumer Discretionary,Department Stores,38.12,36.86,48.87,-0.04197,0.03418339663591974,-0.21997135256803768
K,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,64.17,68.21,71.05,0.01119,-0.05922885207447581,-0.0968332160450387
KEY,KEY,KeyCorp,Financials,Regional Banks,19.6,18.71,20.53,-0.00051,0.04756814537680398,-0.045299561617145656
KEYS,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,94.5,92.99,110,-0.02062,0.01623830519410685,-0.14090909090909087
KHC,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,29.53,29.2,48.66,0.01617,0.011301369863013777,-0.3931360460337032
KIM,KIM,Kimco Realty,Real Estate,Retail REITs,19.62,19.05,21.86,-0.00254,0.02992125984251981,-0.10247026532479409
KLAC,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,165.1,165.74,184.5,-0.03866,-0.0038614697719320246,-0.1051490514905149
KMB,KMB,Kimberly-Clark,Consumer Staples,Household Products,144.82,143.24,149.23,0.00201,0.011030438425020828,-0.029551698720096442
KMI,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,21.12,20.87,21.88,-0.00985,0.011978917105893716,-0.034734917733089454
KMX,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,96.3,97.04,100.49,-0.00691,-0.007625721352019887,-0.041695691113543654
KO,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,59.19,58.4,59.45,0.00339,0.013527397260273855,-0.004373423044575331
KR,KR,Kroger Co.,Consumer Staples,Food Retail,27.96,26.86,29.97,-0.00321,0.04095309009679826,-0.067067067067067
KSS,KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,43.8,42.75,75.91,-0.02558,0.024561403508771784,-0.423000922144645
KSU,KSU,Kansas City Southern,Industrials,Railroads,171.86,168.69,175.1,-0.00076,0.018791866737803087,-0.018503712164477326
L,L,Loews Corp.,Financials,Multi-line Insurance,53.25,51.45,56.2,-0.00113,0.03498542274052463,-0.052491103202847
LB,LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,23.58,23.16,29.02,-0.01668,0.018134715025906578,-0.18745692625775334
LDOS,LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,110.11,100.47,113.2,0.00136,0.0959490395142828,-0.027296819787985926
LEG,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,45.09,47.59,55.42,-0.02844,-0.05253204454717375,-0.18639480332010105
LEN,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,68.99,66.36,68.99,0.01233,0.03963230861965039,0.0
LH,LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,182.33,175.4,185.5,-0.00843,0.03950969213226907,-0.01708894878706191
LHX,LHX,L3Harris Technologies,Industrials,Aerospace & Defense,229.86,221.33,229.86,0.01717,0.038539737044232636,0.0
LIN,LIN,Linde plc,Materials,Industrial Gases,214.16,203.13,217.42,-0.01195,0.05430020184118556,-0.014994020789255824
LKQ,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,32.92,32.69,36.63,-0.00903,0.007035790761700911,-0.10128310128310125
LLY,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,146.41,139.64,147.87,-0.00604,0.048481810369521705,-0.009873537566781665
LMT,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,439.17,428.12,439.86,0.00046,0.02581052041483689,-0.0015686809439366955
LNC,LNC,Lincoln National,Financials,Multi-line Insurance,59.46,54.48,67.52,0.00152,0.09140969162995605,-0.11937203791469186
LNT,LNT,Alliant Energy Corp,Utilities,Electric Utilities,58.33,59.36,59.74,-0.00342,-0.01735175202156336,-0.023602276531637156
LOW,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,121.48,116.24,123.14,-0.00025,0.045079146593255404,-0.013480591197011504
LRCX,LRCX,Lam Research,Information Technology,Semiconductor Equipment,315.3,298.21,332.53,-0.02541,0.05730860802789994,-0.05181487384596872
LUV,LUV,Southwest Airlines,Industrials,Airlines,57.26,54.98,58.74,-0.00797,0.041469625318297565,-0.0251957780047668
LVS,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,66.8,65.31,74.29,-0.03843,0.022814270402694792,-0.10082110647462661
LW,LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,94.45,91.31,94.46,0.01374,0.03438834738801888,-0.00010586491636666029
LYB,LYB,LyondellBasell,Materials,Specialty Chemicals,82.1,77.86,98.91,-0.01535,0.05445671718469036,-0.16995248205439295
LYV,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,72.19,68.16,76.06,-0.00083,0.05912558685446001,-0.05088088351301612
M,M,Macy's Inc.,Consumer Discretionary,Department Stores,16.4,15.95,26.33,-0.03245,0.028213166144200663,-0.37713634637295856
MA,MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,327,315.94,335,-0.00698,0.03500664683167698,-0.023880597014925398
MAA,MAA,Mid-America Apartments,Real Estate,Residential REITs,141.19,137.21,141.19,0.00599,0.029006632169666924,0.0
MAR,MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",144.14,140.06,153.39,-0.01423,0.029130372697415252,-0.06030380076928088
MAS,MAS,Masco Corp.,Industrials,Building Products,48.81,47.52,50.06,-0.01454,0.02714646464646453,-0.024970035956851766
MCD,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,211.61,213.97,221.93,-0.00592,-0.011029583586483982,-0.04650114901094937
MCHP,MCHP,Microchip Technology,Information Technology,Semiconductors,106.19,97.48,112.47,-0.02111,0.08935166187935972,-0.05583711211878728
MCK,MCK,McKesson Corp.,Health Care,Health Care Distributors,156.32,142.61,159.1,-0.01263,0.09613631582637949,-0.017473287240729163
MCO,MCO,Moody's Corp,Financials,Financial Exchanges & Data,267.5,256.79,269.93,-0.0019,0.041707231590015104,-0.00900233393842853
MDLZ,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,58.71,57.38,59.43,0.00496,0.023178807947019875,-0.0121150933871782
MDT,MDT,Medtronic plc,Health Care,Health Care Equipment,118.95,115.44,122.15,-0.01937,0.030405405405405483,-0.026197298403602187
MET,MET,MetLife Inc.,Financials,Life & Health Insurance,51.58,49.71,52.76,-0.00559,0.03761818547575935,-0.022365428354814254
MGM,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,31.36,31.06,34.64,-0.03448,0.00965872504829357,-0.09468822170900693
MHK,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,127.01,131.68,156.6,-0.02674,-0.03546476306196844,-0.18895274584929755
MKC,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,163.11,163.37,174.58,0.00611,-0.001591479463793788,-0.06570053843510137
MKTX,MKTX,MarketAxess,Financials,Financial Exchanges & Data,344.55,354.18,421.45,-0.00324,-0.02718956462815514,-0.18246529837465886
MLM,MLM,Martin Marietta Materials,Materials,Construction Materials,274.1,263.8,281.82,-0.00029,0.039044730856709675,-0.027393371655666687
MMC,MMC,Marsh & McLennan,Financials,Insurance Brokers,116.68,111.86,116.99,0.00198,0.04308957625603438,-0.002649799128130459
MMM,MMM,3M Company,Industrials,Industrial Conglomerates,160.08,158.66,219.75,-0.01725,0.008949955880499294,-0.27153583617747434
MNST,MNST,Monster Beverage,Consumer Staples,Soft Drinks,68.9,66.6,69.74,-0.00792,0.0345345345345347,-0.012044737596787924
MO,MO,Altria Group Inc,Consumer Staples,Tobacco,46.22,47.53,57.88,-0.00943,-0.027561540079949598,-0.20145127850725641
MOS,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,20.25,19.84,33.91,-0.02971,0.02066532258064524,-0.4028310232969625
MPC,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,54.69,54.5,69.65,-0.01388,0.003486238532109942,-0.2147882268485285
MRK,MRK,Merck & Co.,Health Care,Pharmaceuticals,85.08,85.44,92.64,-0.007,-0.004213483146067398,-0.08160621761658038
MRO,MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,11.68,11.37,18.93,-0.02013,0.027264731750219928,-0.3829899630216588
MS,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,55.03,52.26,57.57,0.00036,0.05300420972062758,-0.044120201493833555
MSCI,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,297.83,285.8,304.45,0.00313,0.04209237228831331,-0.02174412875677456
MSFT,MSFT,Microsoft Corp.,Information Technology,Systems Software,183.89,170.23,184.2,0.00142,0.08024437525700523,-0.0016829533116178297
MSI,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,179.46,177,182.28,0.00296,0.013898305084745877,-0.015470704410796565
MTB,MTB,M&T Bank Corp.,Financials,Regional Banks,169.95,168.52,176.11,-0.00695,0.008485639686683921,-0.034978138663335545
MTD,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,787.15,757.18,873.51,0.01109,0.0395810771547056,-0.09886549667433686
MU,MU,Micron Technology,Information Technology,Semiconductors,56.885,53.09,60.56,-0.03059,0.07148238839706145,-0.06068361955085877
MXIM,MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,62.53,60.12,65.73,-0.02419,0.040086493679308166,-0.04868401034535219
MYL,MYL,Mylan N.V.,Health Care,Pharmaceuticals,22.79,21.42,32.23,-0.00263,0.06395891690009314,-0.2928948184920881
NBL,NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,20.05,19.77,28.4,-0.02717,0.014162873039959667,-0.29401408450704214
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",52.81,53.85,59.78,-0.04156,-0.01931290622098425,-0.1165941786550686
NDAQ,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,114.32,116.46,120.23,-0.01321,-0.018375407865361515,-0.04915578474590376
NEE,NEE,NextEra Energy,Utilities,Multi-Utilities,269.54,268.2,270.66,0.00451,0.004996271439224653,-0.004138032956476745
NEM,NEM,Newmont Corporation,Materials,Gold,44.02,45.06,45.71,-0.00834,-0.023080337328007072,-0.03697221614526358
NFLX,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,366.94,345.09,385.99,-3e-05,0.0633168159030979,-0.04935361019715534
NI,NI,NiSource Inc.,Utilities,Multi-Utilities,29.8,29.31,30.67,-0.00168,0.016717843739338267,-0.028366481904140928
NKE,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",99.44,96.3,105.62,-0.00828,0.032606438213914846,-0.05851164552168153
NLOK,NLOK,NortonLifeLock,Information Technology,Application Software,19.72,28.42,28.7,0.11982,-0.30612244897959195,-0.31289198606271784
NLSN,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,21.29,20.4,27.57,0.00425,0.043627450980392224,-0.2277838229960102
NOC,NOC,Northrop Grumman,Industrials,Aerospace & Defense,361.42,374.57,385.01,-0.00641,-0.03510692260458659,-0.061271135814654154
NOV,NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,24.18,20.61,32.63,0.10461,0.17321688500727794,-0.2589641434262949
NOW,NOW,ServiceNow,Information Technology,Systems Software,341.06,338.23,355.99,-0.00187,0.008367087484847602,-0.041939380319671926
NRG,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,37.88,36.89,43.66,0.00132,0.02683654106804023,-0.13238662391204747
NSC,NSC,Norfolk Southern Corp.,Industrials,Railroads,210.18,208.21,219.88,-0.01175,0.009461601267950703,-0.04411497180280144
NTAP,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",57.3,53.4,78.35,-0.01462,0.0730337078651686,-0.26866624122527116
NTRS,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,101.27,97.81,110.48,-0.01344,0.03537470606277471,-0.08336350470673437
NUE,NUE,Nucor Corp.,Materials,Steel,47.92,47.49,62.12,-0.02304,0.009054537797430928,-0.2285898261429491
NVDA,NVDA,Nvidia Corporation,Information Technology,Semiconductors,251.68,236.43,259.5,-0.01011,0.06450112083914905,-0.03013487475915222
NVR,NVR,NVR Inc,Consumer Discretionary,Homebuilding,3921.63,3816.97,4058,0.00892,0.027419654857125053,-0.03360522424839818
NWL,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,20.06,19.53,22.06,-0.00791,0.027137736815155966,-0.09066183136899364
NWS,NWS,News Corp. Class B,Communication Services,Publishing,14.445,13.97,15.36,-0.02001,0.034001431639226976,-0.0595703125
NWSA,NWSA,News Corp. Class A,Communication Services,Publishing,14.19,13.62,15.07,-0.01935,0.04185022026431717,-0.058394160583941646
O,O,Realty Income Corporation,Real Estate,Retail REITs,79.51,78.41,82.17,0.00455,0.014028822854227796,-0.03237191188998412
ODFL,ODFL,Old Dominion Freight Line,Industrials,Trucking,220.59,196.23,220.59,0.01258,0.12414003974927379,0.0
OKE,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,75.36,74.87,77.26,-0.00646,0.006544677440897484,-0.02459228578824757
OMC,OMC,Omnicom Group,Communication Services,Advertising,75.74,75.31,85.05,-0.0111,0.005709733103173464,-0.10946502057613172
ORCL,ORCL,Oracle Corp.,Information Technology,Application Software,54.72,52.45,60.5,0.00018,0.043279313632030414,-0.09553719008264461
ORLY,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,387.68,406.1,454.31,-0.02625,-0.04535828613641968,-0.1466619709009267
OXY,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,41.89,39.72,68.83,-0.00546,0.054632426988922456,-0.39139909922998695
PAYC,PAYC,Paycom,Information Technology,Application Software,293.53,318.16,342,0.0097,-0.07741387980890135,-0.14172514619883048
PAYX,PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,87.99,85.77,89.96,-0.0052,0.02588317593564171,-0.021898621609604207
PBCT,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,15.935,15.42,18.03,-0.01086,0.033398184176394397,-0.11619523017193567
PCAR,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,75.415,74.21,83.41,-0.02803,0.016237703813502424,-0.09585181632897721
PEAK,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,36.31,35.99,37.93,-0.00028,0.008891358710753083,-0.04271025573424725
PEG,PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,57.7,59.2,63.88,-0.0108,-0.02533783783783783,-0.09674389480275514
PEP,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,145.46,142.02,145.46,0.00783,0.024221940571750533,0.0
PFE,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,38.05,37.24,44.56,-0.00549,0.021750805585391886,-0.1460951526032317
PFG,PFG,Principal Financial Group,Financials,Life & Health Insurance,55.58,52.95,60.81,-0.00962,0.049669499527856376,-0.08600559118566031
PG,PG,Procter & Gamble,Consumer Staples,Personal Products,126.08,124.62,128.09,-0.00834,0.011715615471031837,-0.015692091498165417
PGR,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,83.26,80.69,84.96,0.00241,0.031850291238071815,-0.020009416195856722
PH,PH,Parker-Hannifin,Industrials,Industrial Machinery,207.82,195.69,212.05,-0.00967,0.06198579385763203,-0.019948125442112774
PHM,PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,46.1,44.65,47.3,0.01341,0.03247480403135494,-0.025369978858350906
PKG,PKG,Packaging Corporation of America,Materials,Paper Packaging,101.38,95.75,114.78,-0.02828,0.058798955613577064,-0.11674507753964114
PKI,PKI,PerkinElmer,Health Care,Health Care Equipment,93.07,92.48,103,-0.02646,0.006379757785466955,-0.0964077669902913
PLD,PLD,Prologis,Real Estate,Industrial REITs,93.14,92.88,96.96,0.00032,0.002799310938845778,-0.03939768976897684
PM,PM,Philip Morris International,Consumer Staples,Tobacco,87.45,82.7,92.74,0.01474,0.05743651753325274,-0.05704119042484357
PNC,PNC,PNC Financial Services,Financials,Regional Banks,153.35,148.55,161.79,0.00327,0.03231235274318389,-0.052166388528339214
PNR,PNR,Pentair plc,Industrials,Industrial Machinery,43.64,42.93,47.43,-0.01601,0.016538551129746226,-0.07990723170988823
PNW,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,98.06,97.69,99.81,0.00071,0.0037874910430955033,-0.017533313295260977
PPG,PPG,PPG Industries,Materials,Specialty Chemicals,122.61,119.84,134.36,-0.01407,0.02311415220293722,-0.08745162250669847
PPL,PPL,PPL Corp.,Utilities,Electric Utilities,36.02,36.19,36.83,-0.00166,-0.00469743022934499,-0.021992940537605032
PRGO,PRGO,Perrigo,Health Care,Pharmaceuticals,59.91,57.04,60.48,0.01491,0.050315568022440305,-0.009424603174603141
PRU,PRU,Prudential Financial,Financials,Life & Health Insurance,94.67,91.06,106.4,-0.00692,0.03964419064353164,-0.11024436090225564
PSA,PSA,Public Storage,Real Estate,Specialized REITs,225.23,223.76,266.76,0.00536,0.006569538791562302,-0.15568301094616888
PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,90.33,91.37,119.92,0.00122,-0.011382291780672071,-0.24674783188792526
PVH,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",86.45,87.17,134.24,-0.02734,-0.008259722381553258,-0.3560041716328963
PWR,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,38.89,39.15,44.09,-0.00563,-0.006641123882503153,-0.11794057609435249
PXD,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,137.82,135,178.22,-0.01866,0.020888888888888735,-0.22668611828077656
PYPL,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,118.9,113.89,122.19,-0.00826,0.04398981473351493,-0.02692528030117025
QCOM,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,87.43,85.31,96.17,-0.0351,0.024850545070917773,-0.09088073203701774
QRVO,QRVO,Qorvo,Information Technology,Semiconductors,105.14,105.86,122.37,-0.04218,-0.006801435858681315,-0.1408024842690202
RCL,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",111.55,117.08,135.32,-0.04388,-0.047232661428083356,-0.175657700266036
RE,RE,Everest Re Group Ltd.,Financials,Reinsurance,282.58,276.57,284.27,0.00759,0.021730484145062734,-0.0059450522390684934
REG,REG,Regency Centers Corporation,Real Estate,Retail REITs,63.125,62.04,70.26,-0.00606,0.017488716956802097,-0.10155138058639346
